episode/count,episode/length,episode/return,eval/max_return,eval/mean_length,eval/mean_return,eval/min_return,eval/std_return,eval/step,loss/entropy,loss/policy,loss/value,step,time/elapsed_sec,time/fps
3971,90.63636363636364,484.0637825150659,,,,,,,6.38906352519989,-0.083802873454988,387.70215072631834,218000,211.2751350402832,1031.8298930843641
3982,88.72727272727273,522.1632026161178,,,,,,,,,,219000,212.19919276237488,1032.0491663945245
3993,91.0909090909091,517.1565378967357,,,,,,,6.379707169532776,-0.08275227579288184,294.16097259521484,220000,213.4019477367401,1030.9184256902822
4004,88.27272727272727,460.035666239382,,,,,,,,,,221000,214.3021161556244,1031.2543989976825
4015,89.45454545454545,483.7268578992283,,,,,,,6.3725757002830505,-0.06987841589725577,489.36953964233396,222000,215.4788978099823,1030.2632984310521
4026,92.81818181818181,525.2240013240246,,,,,,,,,,223000,216.41571879386902,1030.424228160628
4038,87.5,484.26515481361645,,,,,,,6.364966821670532,-0.08293630827683955,443.526197052002,224000,217.55509567260742,1029.6242398159743
4049,90.27272727272727,434.97435257721924,,,,,,,,,,225000,218.48475122451782,1029.8201533011656
4061,85.08333333333333,492.5229334622841,,,,,,,6.363367295265197,-0.0809377586352639,611.5902938842773,226000,219.64038634300232,1028.9546643169083
4072,85.27272727272727,469.1050719165482,,,,,,,,,,227000,220.3112919330597,1030.3602598316777
